image_id,source_dataset,rel_path,race_cat,gender_cat,age_cat,split,race_ml,skin_tone_bin,cultural_markers,ambiguous_mixed,prefer_not_to_label,unknown_uncertain,conf_race,conf_gender,conf_skin,annotation_notes
UTK_7_0_0_20170110225109143.jpg.chip,UTKFace,UTKFace/7_0_0_20170110225109143.jpg.chip.jpg,White,Male,,train,,,,,,,,,,
FF_45496,FairFace,FairFace/train/45496.jpg,Black,Male,30-39,train,,,,,,,,,,
UTK_33_1_3_20170119200543308.jpg.chip,UTKFace,UTKFace/33_1_3_20170119200543308.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
FF_52004,FairFace,FairFace/train/52004.jpg,Black,Male,10-19,train,,,,,,,,,,
FF_7982,FairFace,FairFace/train/7982.jpg,White,Male,30-39,train,,,,,,,,,,
FF_59651,FairFace,FairFace/train/59651.jpg,Black,Male,30-39,train,,,,,,,,,,
UTK_40_0_3_20170119175332114.jpg.chip,UTKFace,UTKFace/40_0_3_20170119175332114.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
UTK_35_1_1_20170113011001766.jpg.chip,UTKFace,UTKFace/35_1_1_20170113011001766.jpg.chip.jpg,Black,Female,,train,,,,,,,,,,
UTK_26_1_1_20170116223115624.jpg.chip,UTKFace,UTKFace/26_1_1_20170116223115624.jpg.chip.jpg,Black,Female,,train,,,,,,,,,,
FF_1526,FairFace,FairFace/val/1526.jpg,Black,Female,10-19,train,,,,,,,,,,
UTK_28_1_2_20170116165133825.jpg.chip,UTKFace,UTKFace/28_1_2_20170116165133825.jpg.chip.jpg,EastAsian,Female,,train,,,,,,,,,,
UTK_26_1_3_20170104214715278.jpg.chip,UTKFace,UTKFace/26_1_3_20170104214715278.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
UTK_80_1_0_20170110151356634.jpg.chip,UTKFace,UTKFace/80_1_0_20170110151356634.jpg.chip.jpg,White,Female,,train,,,,,,,,,,
FF_46516,FairFace,FairFace/train/46516.jpg,Black,Female,30-39,train,,,,,,,,,,
FF_24868,FairFace,FairFace/train/24868.jpg,White,Male,30-39,train,,,,,,,,,,
FF_71554,FairFace,FairFace/train/71554.jpg,White,Female,3-9,train,,,,,,,,,,
UTK_32_0_1_20170117140609238.jpg.chip,UTKFace,UTKFace/32_0_1_20170117140609238.jpg.chip.jpg,Black,Male,,train,,,,,,,,,,
UTK_29_1_1_20170112235043081.jpg.chip,UTKFace,UTKFace/29_1_1_20170112235043081.jpg.chip.jpg,Black,Female,,train,,,,,,,,,,
FF_63241,FairFace,FairFace/train/63241.jpg,Black,Male,3-9,train,,,,,,,,,,
UTK_34_0_2_20170105173426253.jpg.chip,UTKFace,UTKFace/34_0_2_20170105173426253.jpg.chip.jpg,EastAsian,Male,,train,,,,,,,,,,
UTK_26_1_3_20170104222740327.jpg.chip,UTKFace,UTKFace/26_1_3_20170104222740327.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
UTK_26_1_3_20170104223022663.jpg.chip,UTKFace,UTKFace/26_1_3_20170104223022663.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
FF_6299,FairFace,FairFace/train/6299.jpg,Black,Female,30-39,train,,,,,,,,,,
UTK_34_0_3_20170109140934624.jpg.chip,UTKFace,UTKFace/34_0_3_20170109140934624.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
FF_12807,FairFace,FairFace/train/12807.jpg,White,Male,50-59,train,,,,,,,,,,
FF_6945,FairFace,FairFace/train/6945.jpg,Black,Male,30-39,train,,,,,,,,,,
FF_65124,FairFace,FairFace/train/65124.jpg,White,Female,30-39,train,,,,,,,,,,
FF_6761,FairFace,FairFace/val/6761.jpg,Black,Male,20-29,train,,,,,,,,,,
FF_14854,FairFace,FairFace/train/14854.jpg,White,Male,20-29,train,,,,,,,,,,
UTK_29_1_1_20170116231920226.jpg.chip,UTKFace,UTKFace/29_1_1_20170116231920226.jpg.chip.jpg,Black,Female,,train,,,,,,,,,,
UTK_27_0_0_20170116204136393.jpg.chip,UTKFace,UTKFace/27_0_0_20170116204136393.jpg.chip.jpg,White,Male,,train,,,,,,,,,,
FF_44266,FairFace,FairFace/train/44266.jpg,White,Female,20-29,train,,,,,,,,,,
FF_66522,FairFace,FairFace/train/66522.jpg,White,Female,30-39,train,,,,,,,,,,
FF_47318,FairFace,FairFace/train/47318.jpg,White,Male,0-2,train,,,,,,,,,,
FF_4105,FairFace,FairFace/val/4105.jpg,White,Female,50-59,train,,,,,,,,,,
FF_68894,FairFace,FairFace/train/68894.jpg,White,Male,50-59,train,,,,,,,,,,
FF_30682,FairFace,FairFace/train/30682.jpg,White,Female,20-29,train,,,,,,,,,,
UTK_38_1_1_20170112231350830.jpg.chip,UTKFace,UTKFace/38_1_1_20170112231350830.jpg.chip.jpg,Black,Female,,train,,,,,,,,,,
FF_46427,FairFace,FairFace/train/46427.jpg,White,Male,50-59,train,,,,,,,,,,
FF_84552,FairFace,FairFace/train/84552.jpg,White,Male,40-49,train,,,,,,,,,,
UTK_1_1_2_20161219162730478.jpg.chip,UTKFace,UTKFace/1_1_2_20161219162730478.jpg.chip.jpg,EastAsian,Female,,train,,,,,,,,,,
FF_9834,FairFace,FairFace/val/9834.jpg,Black,Male,20-29,train,,,,,,,,,,
FF_70540,FairFace,FairFace/train/70540.jpg,White,Female,30-39,train,,,,,,,,,,
FF_53178,FairFace,FairFace/train/53178.jpg,White,Male,20-29,train,,,,,,,,,,
UTK_29_0_3_20170119195116490.jpg.chip,UTKFace,UTKFace/29_0_3_20170119195116490.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
UTK_2_0_2_20161219203828132.jpg.chip,UTKFace,UTKFace/2_0_2_20161219203828132.jpg.chip.jpg,EastAsian,Male,,train,,,,,,,,,,
FF_79330,FairFace,FairFace/train/79330.jpg,Black,Male,20-29,train,,,,,,,,,,
UTK_29_0_0_20170117202657886.jpg.chip,UTKFace,UTKFace/29_0_0_20170117202657886.jpg.chip.jpg,White,Male,,train,,,,,,,,,,
FF_57001,FairFace,FairFace/train/57001.jpg,White,Female,20-29,train,,,,,,,,,,
UTK_1_0_3_20161219225808112.jpg.chip,UTKFace,UTKFace/1_0_3_20161219225808112.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
UTK_30_1_2_20170116163932623.jpg.chip,UTKFace,UTKFace/30_1_2_20170116163932623.jpg.chip.jpg,EastAsian,Female,,train,,,,,,,,,,
UTK_26_1_3_20170117174059493.jpg.chip,UTKFace,UTKFace/26_1_3_20170117174059493.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
UTK_20_1_0_20170109214040024.jpg.chip,UTKFace,UTKFace/20_1_0_20170109214040024.jpg.chip.jpg,White,Female,,train,,,,,,,,,,
FF_75188,FairFace,FairFace/train/75188.jpg,White,Male,30-39,train,,,,,,,,,,
UTK_35_0_3_20170119200930924.jpg.chip,UTKFace,UTKFace/35_0_3_20170119200930924.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
FF_3667,FairFace,FairFace/train/3667.jpg,White,Female,50-59,train,,,,,,,,,,
FF_82254,FairFace,FairFace/train/82254.jpg,Black,Female,30-39,train,,,,,,,,,,
FF_23007,FairFace,FairFace/train/23007.jpg,White,Male,20-29,train,,,,,,,,,,
UTK_20_1_3_20170104222019511.jpg.chip,UTKFace,UTKFace/20_1_3_20170104222019511.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
UTK_40_0_3_20170119204129150.jpg.chip,UTKFace,UTKFace/40_0_3_20170119204129150.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
UTK_16_1_3_20170104222158160.jpg.chip,UTKFace,UTKFace/16_1_3_20170104222158160.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
FF_16664,FairFace,FairFace/train/16664.jpg,White,Female,50-59,train,,,,,,,,,,
FF_8516,FairFace,FairFace/train/8516.jpg,Black,Male,20-29,train,,,,,,,,,,
FF_76092,FairFace,FairFace/train/76092.jpg,White,Female,20-29,train,,,,,,,,,,
UTK_47_1_3_20170119200858036.jpg.chip,UTKFace,UTKFace/47_1_3_20170119200858036.jpg.chip.jpg,SouthAsian,Female,,train,,,,,,,,,,
FF_25302,FairFace,FairFace/train/25302.jpg,White,Female,20-29,train,,,,,,,,,,
FF_70368,FairFace,FairFace/train/70368.jpg,White,Male,20-29,train,,,,,,,,,,
FF_67489,FairFace,FairFace/train/67489.jpg,Black,Male,50-59,train,,,,,,,,,,
FF_4508,FairFace,FairFace/train/4508.jpg,White,Female,30-39,train,,,,,,,,,,
FF_16829,FairFace,FairFace/train/16829.jpg,Black,Female,30-39,train,,,,,,,,,,
UTK_65_0_3_20170119203933382.jpg.chip,UTKFace,UTKFace/65_0_3_20170119203933382.jpg.chip.jpg,SouthAsian,Male,,train,,,,,,,,,,
UTK_35_1_0_20170117191606659.jpg.chip,UTKFace,UTKFace/35_1_0_20170117191606659.jpg.chip.jpg,White,Female,,train,,,,,,,,,,
FF_84978,FairFace,FairFace/train/84978.jpg,White,Male,40-49,train,,,,,,,,,,
FF_3257,FairFace,FairFace/val/3257.jpg,White,Female,20-29,train,,,,,,,,,,
UTK_1_1_2_20161219194839971.jpg.chip,UTKFace,UTKFace/1_1_2_20161219194839971.jpg.chip.jpg,EastAsian,Female,,train,,,,,,,,,,
FF_1149,FairFace,FairFace/train/1149.jpg,Black,Male,3-9,train,,,,,,,,,,
UTK_1_0_2_20161219205836181.jpg.chip,UTKFace,UTKFace/1_0_2_20161219205836181.jpg.chip.jpg,EastAsian,Male,,train,,,,,,,,,,
FF_41870,FairFace,FairFace/train/41870.jpg,White,Female,30-39,train,,,,,,,,,,
FF_1190,FairFace,FairFace/val/1190.jpg,Black,Female,10-19,train,,,,,,,,,,
FF_42635,FairFace,FairFace/train/42635.jpg,Black,Female,30-39,train,,,,,,,,,,
FF_9734,FairFace,FairFace/val/9734.jpg,White,Female,10-19,train,,,,,,,,,,
FF_85787,FairFace,FairFace/train/85787.jpg,Black,Female,3-9,train,,,,,,,,,,
FF_15607,FairFace,FairFace/train/15607.jpg,White,Male,20-29,train,,,,,,,,,,
