image_id,source_dataset,rel_path,split,race_labels,gender_labels,age_bin,skin_tone_fitzpatrick,cultural_markers,ambiguous_mixed,prefer_not_to_label,unknown_uncertain,conf_race,conf_gender,conf_skin,annotation_notes,label_method,source_evidence,review_status,annotator_id,timestamp_iso,version_tag
UTK_7_0_0_20170110225109143.jpg.chip,UTKFace,UTKFace/7_0_0_20170110225109143.jpg.chip.jpg,train,White,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_45496,FairFace,FairFace/train/45496.jpg,train,Black,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_33_1_3_20170119200543308.jpg.chip,UTKFace,UTKFace/33_1_3_20170119200543308.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_52004,FairFace,FairFace/train/52004.jpg,train,Black,Male,10-19,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_7982,FairFace,FairFace/train/7982.jpg,train,White,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_59651,FairFace,FairFace/train/59651.jpg,train,Black,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_40_0_3_20170119175332114.jpg.chip,UTKFace,UTKFace/40_0_3_20170119175332114.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_35_1_1_20170113011001766.jpg.chip,UTKFace,UTKFace/35_1_1_20170113011001766.jpg.chip.jpg,train,Black,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_1_20170116223115624.jpg.chip,UTKFace,UTKFace/26_1_1_20170116223115624.jpg.chip.jpg,train,Black,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_1526,FairFace,FairFace/val/1526.jpg,train,Black,Female,10-19,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_28_1_2_20170116165133825.jpg.chip,UTKFace,UTKFace/28_1_2_20170116165133825.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_3_20170104214715278.jpg.chip,UTKFace,UTKFace/26_1_3_20170104214715278.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_80_1_0_20170110151356634.jpg.chip,UTKFace,UTKFace/80_1_0_20170110151356634.jpg.chip.jpg,train,White,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_46516,FairFace,FairFace/train/46516.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_24868,FairFace,FairFace/train/24868.jpg,train,White,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_71554,FairFace,FairFace/train/71554.jpg,train,White,Female,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_32_0_1_20170117140609238.jpg.chip,UTKFace,UTKFace/32_0_1_20170117140609238.jpg.chip.jpg,train,Black,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
