image_id,rel_path,source_dataset,race_cat,gender_cat,age_cat,split,cultural_markers,ambiguous_mixed,prefer_not_to_label,unknown_uncertain,conf_race,conf_gender,conf_skin,annotation_notes
UTK_26_0_3_20170104230341769.jpg.chip,UTKFace/26_0_3_20170104230341769.jpg.chip.jpg,UTKFace,SouthAsian,Male,,val,,,,,medium,high,high,
UTK_32_0_3_20170119200203836.jpg.chip,UTKFace/32_0_3_20170119200203836.jpg.chip.jpg,UTKFace,SouthAsian,Male,,test,,,,,high,high,high,
UTK_40_0_3_20170119175332114.jpg.chip,UTKFace/40_0_3_20170119175332114.jpg.chip.jpg,UTKFace,SouthAsian,Male,,train,1,,,,high,high,high,
UTK_31_0_3_20170104165548728.jpg.chip,UTKFace/31_0_3_20170104165548728.jpg.chip.jpg,UTKFace,SouthAsian,Male,,test,,,,,high,high,high,
UTK_40_0_3_20170119204129150.jpg.chip,UTKFace/40_0_3_20170119204129150.jpg.chip.jpg,UTKFace,SouthAsian,Male,,train,,,,,high,high,high,
UTK_67_0_3_20170119212010042.jpg.chip,UTKFace/67_0_3_20170119212010042.jpg.chip.jpg,UTKFace,SouthAsian,Male,,val,,,,,medium,high,medium,
UTK_50_0_3_20170119204225095.jpg.chip,UTKFace/50_0_3_20170119204225095.jpg.chip.jpg,UTKFace,SouthAsian,Male,,train,1,,,,high,high,high,
UTK_22_1_0_20170111182452750.jpg.chip,UTKFace/22_1_0_20170111182452750.jpg.chip.jpg,UTKFace,White,Female,,train,,1,,,low,high,high,
UTK_18_1_0_20170109212826322.jpg.chip,UTKFace/18_1_0_20170109212826322.jpg.chip.jpg,UTKFace,White,Female,,val,,,,,low,high,medium,
UTK_80_1_0_20170110151356634.jpg.chip,UTKFace/80_1_0_20170110151356634.jpg.chip.jpg,UTKFace,White,Female,,train,,,,,medium,high,medium,
UTK_67_0_0_20170120230048298.jpg.chip,UTKFace/67_0_0_20170120230048298.jpg.chip.jpg,UTKFace,White,Male,,train,,,,,medium,high,medium,
UTK_68_0_0_20170117184556032.jpg.chip,UTKFace/68_0_0_20170117184556032.jpg.chip.jpg,UTKFace,White,Male,,train,,,,,medium,high,medium,
UTK_7_0_0_20170110225109143.jpg.chip,UTKFace/7_0_0_20170110225109143.jpg.chip.jpg,UTKFace,White,Male,,train,,1,,,medium,medium,medium,
UTK_38_0_1_20170117133818533.jpg.chip,UTKFace/38_0_1_20170117133818533.jpg.chip.jpg,UTKFace,Black,Male,,train,,1,,,low,high,medium,
UTK_30_0_1_20170117202825454.jpg.chip,UTKFace/30_0_1_20170117202825454.jpg.chip.jpg,UTKFace,Black,Male,,train,,1,,,medium,high,high,
UTK_32_0_1_20170117140609238.jpg.chip,UTKFace/32_0_1_20170117140609238.jpg.chip.jpg,UTKFace,Black,Male,,train,,,,,high,high,high,
FF_5215,FairFace/train/5215.jpg,FairFace,White,Male,40-49,val,,,,,medium,high,medium,
FF_14573,FairFace/train/14573.jpg,FairFace,White,Male,20-29,train,,,,,medium,medium,medium,
FF_32016,FairFace/train/32016.jpg,FairFace,White,Male,60-69,val,,,,,high,high,medium,
FF_5410,FairFace/val/5410.jpg,FairFace,White,Male,50-59,train,,,,1,low,medium,low,
FF_55815,FairFace/train/55815.jpg,FairFace,White,Male,20-29,val,,,,1,medium,high,low,
FF_33259,FairFace/train/33259.jpg,FairFace,White,Male,30-39,test,1,,,,medium,high,low,
FF_83176,FairFace/train/83176.jpg,FairFace,White,Male,3-9,test,,1,,,low,high,medium,
FF_59737,FairFace/train/59737.jpg,FairFace,White,Male,40-49,train,,,,,medium,high,medium,
FF_5389,FairFace/val/5389.jpg,FairFace,White,Male,50-59,train,,,,1,low,high,medium,
FF_70879,FairFace/train/70879.jpg,FairFace,White,Male,20-29,train,,,,,medium,high,medium,
FF_34696,FairFace/train/34696.jpg,FairFace,White,Male,20-29,train,,1,,,medium,high,medium,
FF_35703,FairFace/train/35703.jpg,FairFace,White,Male,30-39,test,,1,,1,medium,high,medium,
FF_12957,FairFace/train/12957.jpg,FairFace,White,Male,20-29,val,,,,,high,high,high,
FF_866,FairFace/val/866.jpg,FairFace,White,Male,30-39,train,,,,,high,high,high,
FF_82360,FairFace/train/82360.jpg,FairFace,White,Male,50-59,train,,,,,high,high,high,
FF_23038,FairFace/train/23038.jpg,FairFace,White,Male,40-49,train,,,,,high,high,high,
FF_32839,FairFace/train/32839.jpg,FairFace,White,Male,50-59,train,,1,,,low,high,medium,
FF_8779,FairFace/val/8779.jpg,FairFace,White,Male,30-39,train,,,,,high,high,medium,
FF_32818,FairFace/train/32818.jpg,FairFace,White,Male,30-39,train,,,,,high,high,high,
